"word" "RSA" "havg" "hstd"
cutie -1 7.1 1.3132
dearest -7 7.1 1.2817
dream -3 7.1 1.9614
freely -2 7.1 1.374
fridays -3 7.1 1.4604
plants 0 7.1 1.2976
quality 1 7.1 1.4178
rabbit -4 7.1 1.2164
resort -4 7.1 1.4463
shopping 4 7.1 1.5419
sincere -3 7.1 1.0351
snack -1 7.1 1.5682
stars -5 7.1 1.5419
toys 0 7.1 1.6568
useful 0 7.1 1.1995
wise -2 7.1 1.2657
yum 3 7.1 1.488
desirable -5 7.08 1.6563
sparkle -1 7.08 1.6181
bless -3 7.08 1.9675
comic 1 7.08 1.5628
cooking 3 7.08 1.2911
dancing -1 7.08 1.6142
earned -4 7.08 1.1753
equality 0 7.08 1.8277
faith -1 7.08 1.4405
graduate -6 7.08 1.2428
improvements 0 7.08 1.4119
memories 0 7.08 1.1925
park 0 7.08 1.3529
pet -1 7.08 1.7004
powerful 0 7.08 1.5365
princess -2 7.08 1.5758
qualities -1 7.08 1.1578
thrill 2 7.08 1.5628
true -2 7.08 1.1036
wonder -2 7.08 1.3068
everlasting -5 7.06 1.3906
mamma 1 7.06 1.7006
caress -6 7.06 1.7192
charm -1 7.06 1.4201
clever -4 7.06 1.3463
father -4 7.06 1.7427
grand -3 7.06 1.3614
hehehe 0 7.06 1.6587
idea -2 7.06 1.2843
pearl -1 7.06 1.4201
pictures -2 7.06 1.3157
restaurant -6 7.06 1.2521
sandwich -2 7.06 1.3763
sharing -1 7.06 1.2843
strong -2 7.06 1.5174
talent -2 7.06 0.9775
talented -4 7.06 1.5308
tenderness -6 7.06 1.2683
weddings -4 7.06 1.6587
dove -2 7.04 1.4428
awsome -2 7.04 1.7952
cherry -2 7.04 1.4563
daughter -4 7.04 1.8066
eat -3 7.04 1.4563
favorite -4 7.04 1.6532
girlfriend -2 7.04 1.6283
hoping 4 7.04 1.1421
impressive -2 7.04 1.0294
loyalty 3 7.04 1.7723
parent -2 7.04 1.293
relationship 2 7.04 1.293
safe -4 7.04 1.6157
scholarship 1 7.04 1.6532
shining 3 7.04 1.7608
sunrise -1 7.04 1.7952
yoga 0 7.04 1.5903
respects -6 7.02 1.6176
fairy -1 7.02 1.4789
humanity 4 7.02 1.6265
productivity 0 7.02 1.3148
brave -5 7.02 1.2856
colours 1 7.02 1.3775
correct -5 7.02 1.4913
dad -3 7.02 2.1236
daddy -3 7.02 1.7201
dollar 0 7.02 1.5185
easily 0 7.02 1.6349
fans -2 7.02 1.2534
goal 0 7.02 1.2204
hawaii 0 7.02 1.6841
honestly 2 7.02 1.5713
inspiration 3 7.02 1.4497
olympics 4 7.02 1.3476
saints -2 7.02 1.7201
sleeping 0 7.02 1.672
wisdom 0 7.02 1.5583
believed -4 7 1.2778
better -6 7 1.2778
color 1 7 1.3702
colors 0 7 1.7496
determination -1 7 1.4142
discovered -6 7 1.2454
gentlemen -1 7 1.4289
girl 0 7 1.1606
harmony 3 7 1.4434
hello 3 7 1.5119
hopes 1 7 1.5518
noble 1 7 1.6036
praised -3 7 1.3851
reliable -2 7 1.4846
trip 0 7 1.5518
agreed -6 6.98 1.3013
approval 0 6.98 1.2036
brothers -4 6.98 1.4497
concerts -4 6.98 1.5451
cooperation 1 6.98 1.3775
encouraged -4 6.98 1.237
giving 0 6.98 1.1516
goals -1 6.98 1.2036
ideal -1 6.98 1.7082
intellectual 0 6.98 1.2856
invitation 2 6.98 1.3323
marry -1 6.98 1.868
musician 2 6.98 1.237
outdoors 0 6.98 1.6962
photography 3 6.98 1.4913
plenty 2 6.98 1.2204
rome 0 6.98 1.4213
trees -5 6.98 1.5971
trips -1 6.98 1.3169
unique 2 6.98 1.4356
wildlife 0 6.98 1.6841
lullaby 3 6.98 1.931
thrills 1 6.98 1.3306
abroad -4 6.96 1.2282
bath -2 6.96 1.261
benefit -3 6.96 1.3087
birds -3 6.96 1.428
dads -4 6.96 1.4702
elegant -3 6.96 1.9268
eternally -1 6.96 1.7138
fair -2 6.96 1.261
fancy -1 6.96 1.3696
imagination 3 6.96 1.3547
improving 3 6.96 0.8797
mountains 3 6.96 1.1945
ocean -1 6.96 1.7138
pancakes -2 6.96 1.2115
photograph 2 6.96 1.5644
praying 1 6.96 1.7492
present -3 6.96 1.2771
reunion 3 6.96 1.6283
safely -2 6.96 1.4563
saving -2 6.96 1.261
singing 1 6.96 1.7019
songs -1 6.96 1.8731
sunny 3 6.96 2.0894
terrific -4 6.96 2.0796
theater -5 6.96 1.5513
vanilla 1 6.96 1.3395
adore -3 6.96 1.8592
gentleman -1 6.96 1.7254
autumn 2 6.94 1.5039
cinema 0 6.94 1.596
college -1 6.94 1.4201
concert -3 6.94 1.2022
correctly -3 6.94 1.3311
cozy 0 6.94 1.4626
dear -4 6.94 1.544
earning -1 6.94 1.5308
earns -3 6.94 1.0956
